# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
0.00125783 -1.61439e-41 -6.52281e-53 -2.17267e-81 3.0423e-82 -5.75417e-90 3.43256e-95
0.00126616 -5.42623e-42 -5.3858e-53 -3.05054e-81 4.13413e-82 -6.70756e-90 5.93705e-95
0.00127449 7.79564e-42 -3.78429e-53 -4.15047e-81 5.45962e-82 -7.6179e-90 9.31375e-95
0.00128282 2.36442e-41 -1.683e-53 -5.4999e-81 7.03323e-82 -8.38083e-90 1.36929e-94
0.00129115 4.21864e-41 9.40377e-54 -7.12022e-81 8.8576e-82 -8.8466e-90 1.91623e-94
0.00129948 6.34213e-41 4.09216e-53 -9.02204e-81 1.09177e-81 -8.80832e-90 2.57311e-94
0.00130781 8.72657e-41 7.75811e-53 -1.11988e-80 1.31736e-81 -7.98848e-90 3.32808e-94
0.00131614 1.13541e-40 1.19013e-52 -1.36186e-80 1.55517e-81 -6.02453e-90 4.15029e-94
0.00132447 1.4196e-40 1.64575e-52 -1.62143e-80 1.79341e-81 -2.45382e-90 4.98216e-94
0.0013328 1.72114e-40 2.13336e-52 -1.88706e-80 2.0147e-81 3.30092e-90 5.73017e-94
0.00134113 2.0346e-40 2.64044e-52 -2.14102e-80 2.19474e-81 1.19443e-89 6.2544e-94
0.00134946 2.35315e-40 3.15118e-52 -2.35757e-80 2.30084e-81 2.43168e-89 6.35722e-94
0.00135779 2.66844e-40 3.64639e-52 -2.50111e-80 2.29047e-81 4.13971e-89 5.77197e-94
0.00136612 2.97057e-40 4.10366e-52 -2.5241e-80 2.10981e-81 6.42937e-89 4.1526e-94
0.00137445 3.24811e-40 4.49755e-52 -2.3648e-80 1.69249e-81 9.42222e-89 1.06623e-94
0.00138278 3.48811e-40 4.80021e-52 -1.94519e-80 9.58564e-82 1.32462e-88 -4.00937e-94
0.00139111 3.67618e-40 4.98168e-52 -1.16895e-80 -1.85878e-82 1.80287e-88 -1.16802e-93
0.00139944 3.79669e-40 5.01093e-52 8.00425e-82 -1.8484e-81 2.3886e-88 -2.26187e-93
0.00140777 3.83289e-40 4.85659e-52 1.93852e-80 -4.14879e-81 3.09087e-88 -3.75303e-93
0.0014161 3.76726e-40 4.48849e-52 4.56347e-80 -7.21617e-81 3.91411e-88 -5.70988e-93
0.00142443 3.58183e-40 3.87883e-52 8.13017e-80 -1.11842e-80 4.85553e-88 -8.19041e-93
0.00143276 3.25861e-40 3.00369e-52 1.28279e-79 -1.61839e-80 5.9017e-88 -1.12308e-92
0.00144109 2.78006e-40 1.84478e-52 1.88531e-79 -2.23336e-80 7.02433e-88 -1.48301e-92
0.00144942 2.12973e-40 3.91311e-53 2.63979e-79 -2.97255e-80 8.17515e-88 -1.89305e-92
0.00145775 1.29283e-40 -1.35837e-52 3.56353e-79 -3.84084e-80 9.27982e-88 -2.3393e-92
0.00146608 2.57003e-41 -3.39499e-52 4.66977e-79 -4.83654e-80 1.02309e-87 -2.79684e-92
0.00147441 -9.86908e-41 -5.6964e-52 5.96492e-79 -5.94876e-80 1.08798e-87 -3.22641e-92
0.00148274 -2.44406e-40 -8.22636e-52 7.44505e-79 -7.15421e-80 1.10286e-87 -3.57073e-92
0.00149107 -4.11473e-40 -1.09333e-51 9.09154e-79 -8.41352e-80 1.04206e-87 -3.75069e-92
0.0014994 -5.99344e-40 -1.37493e-51 1.08658e-78 -9.66708e-80 8.73165e-88 -3.66166e-92
0.00150773 -8.0681e-40 -1.65901e-51 1.2703e-78 -1.08305e-79 5.56239e-88 -3.1703e-92
0.00151606 -1.03192e-39 -1.93554e-51 1.4505e-78 -1.17898e-79 4.31707e-89 -2.11245e-92
0.00152439 -1.27188e-39 -2.19293e-51 1.61325e-78 -1.23964e-79 -7.22621e-88 -2.92791e-93
0.00153272 -1.52303e-39 -2.41822e-51 1.73963e-78 -1.24626e-79 -1.80603e-87 2.51293e-92
0.00154105 -1.78073e-39 -2.59741e-51 1.80483e-78 -1.17578e-79 -3.27946e-87 6.55193e-92
0.00154938 -2.03936e-39 -2.71562e-51 1.77726e-78 -1.00048e-79 -5.22102e-87 1.20835e-91
0.00155771 -2.29227e-39 -2.75757e-51 1.61777e-78 -6.87956e-80 -7.71163e-87 1.93622e-91
0.00156604 -2.53179e-39 -2.70828e-51 1.27895e-78 -2.01167e-80 -1.08306e-86 2.86124e-91
0.00157437 -2.74926e-39 -2.55344e-51 7.0474e-79 5.01046e-80 -1.46489e-86 3.99954e-91
0.0015827 -2.93507e-39 -2.28011e-51 -1.69531e-79 1.46308e-79 -1.92212e-86 5.35643e-91
0.00159103 -3.07877e-39 -1.87752e-51 -1.41662e-78 2.73109e-79 -2.45738e-86 6.92085e-91
0.00159936 -3.16917e-39 -1.33784e-51 -3.11605e-78 4.35087e-79 -3.06904e-86 8.6586e-91
0.00160769 -3.19452e-39 -6.56844e-52 -5.35176e-78 6.36489e-79 -3.74943e-86 1.05044e-90
0.00161602 -3.14272e-39 1.65185e-52 -8.20865e-78 8.80841e-79 -4.4827e-86 1.23527e-90
0.00162435 -3.00157e-39 1.12286e-51 -1.17675e-77 1.17045e-78 -5.24221e-86 1.40483e-90
0.00163268 -2.75903e-39 2.20489e-51 -1.60982e-77 1.50581e-78 -5.98768e-86 1.53756e-90
0.00164101 -2.40362e-39 3.39365e-51 -2.12506e-77 1.88482e-78 -6.6619e-86 1.60496e-90
0.00164934 -1.92471e-39 4.66476e-51 -2.72438e-77 2.302e-78 -7.1872e-86 1.57065e-90
0.00165767 -1.31301e-39 5.98693e-51 -3.40516e-77 2.74742e-78 -7.46181e-86 1.38985e-90
0.001666 -5.60979e-40 7.32193e-51 -4.15866e-77 3.20565e-78 -7.35622e-86 1.00911e-90
0.00167433 3.36709e-40 8.62493e-51 -4.96802e-77 3.6546e-78 -6.70987e-86 3.66796e-91
0.00168266 1.38265e-39 9.84506e-51 -5.80607e-77 4.06422e-78 -5.3285e-86 -6.05741e-91
0.00169099 2.5762e-39 1.09262e-50 -6.63288e-77 4.39532e-78 -2.98253e-86 -1.98181e-90
0.00169932 3.91302e-39 1.18084e-50 -7.39308e-77 4.59841e-78 5.92839e-87 -3.83573e-90
0.00170765 5.38451e-39 1.24293e-50 -8.01315e-77 4.61269e-78 5.69521e-86 -6.23745e-90
0.00171598 6.97741e-39 1.2726e-50 -8.39864e-77 4.36536e-78 1.26495e-85 -9.24527e-90
0.00172431 8.67334e-39 1.26372e-50 -8.43163e-77 3.77136e-78 2.17982e-85 -1.28963e-89
0.00173264 1.04484e-38 1.21064e-50 -7.96865e-77 2.73369e-78 3.3487e-85 -1.71947e-89
0.00174097 1.2273e-38 1.10827e-50 -6.83919e-77 1.14451e-78 4.80434e-85 -2.20967e-89
0.0017493 1.41116e-38 9.52567e-51 -4.84539e-77 -1.11265e-78 6.57489e-85 -2.74943e-89
0.00175763 1.59225e-38 7.40691e-51 -1.76307e-77 -4.15954e-78 8.68014e-85 -3.31954e-89
0.00176596 1.7658e-38 4.71315e-51 2.65517e-77 -8.11829e-78 1.11269e-84 -3.89031e-89
0.00177429 1.92647e-38 1.44917e-51 8.67442e-77 -1.31047e-77 1.39032e-84 -4.41935e-89
0.00178262 2.06838e-38 -2.35978e-51 1.65687e-76 -1.92194e-77 1.69714e-84 -4.84938e-89
0.00179095 2.18514e-38 -6.6661e-51 2.66087e-76 -2.65371e-77 2.02602e-84 -5.10627e-89
0.00179928 2.26995e-38 -1.13986e-50 3.90446e-76 -3.50931e-77 2.36554e-84 -5.09742e-89
0.00180761 2.31572e-38 -1.64609e-50 5.40839e-76 -4.48672e-77 2.69897e-84 -4.71087e-89
0.00181594 2.31512e-38 -2.17316e-50 7.18642e-76 -5.57653e-77 3.00316e-84 -3.81546e-89
0.00182427 2.26077e-38 -2.70651e-50 9.24183e-76 -6.75986e-77 3.24742e-84 -2.26234e-89
0.0018326 2.14539e-38 -3.22934e-50 1.15634e-75 -8.00599e-77 3.3924e-84 1.11603e-90
